id,sb_id,name,reference,type,submethod,description,uses_feature_score,uses_composite_score,feature_groups,created_by,updated_by,created_at,updated_at,deleted_at,display_help,help_url
306,33,Schaefer 2008,A summary of epiphyseal union timings in Bosnian males. International Journal of Osteoarchaeology 18(5):536-545,Age,"",Age estimation based on epiphyseal fusion,true,false,,System,System,2018-12-08 16:50:35,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#schaefer-mc-2008
169,33,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
170,34,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
171,35,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
300,35,Walker 2008,AJPA 136:39-50,Sex,"",Sex estimation by scoring cranial morphology,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#walker-pl-2008
172,36,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
64,37,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
135,37,Rogers 1999,JFS 44:57-60,Sex,"",Sex estimation based on distal humerus morphology,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#rogers-tl-1999
301,37,Schaefer 2008,A summary of epiphyseal union timings in Bosnian males. International Journal of Osteoarchaeology 18(5):536-545,Age,"",Age estimation based on epiphyseal fusion,true,false,,System,System,2018-12-08 16:50:35,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#schaefer-mc-2008
173,37,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
174,38,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
175,40,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
176,41,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
177,42,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
178,43,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
179,44,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
180,45,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
181,46,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
182,47,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
183,48,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
184,49,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
19,50,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
65,50,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
185,50,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
24,51,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
66,51,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
186,51,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
20,52,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
67,52,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
187,52,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
25,53,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
68,53,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
188,53,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
21,54,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
69,54,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
189,54,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
26,55,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
70,55,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
190,55,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
22,56,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
71,56,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
191,56,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
27,57,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
72,57,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
192,57,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
23,58,Albert and Maples 1995,JFS 40(4):623-633,Age,"",Age estimate by scoring vertebral fusion,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#albert-am-maples-wr-1995
73,58,McKern and Stewart 1957,Skeletal Age Changes in Young American Males.  Quartermaster Research and Development Command Technical Report.,Age,"",Age estimation by scoring epiphyseal closures,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mckern-tw-stewart-td-1957
193,58,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
194,59,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
