se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1229,123,2,2,28.72,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,124,2,2,30.53,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,125,2,2,23.73,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,131,2,2,27.48,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,132,2,2,23.01,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,133,2,2,33.37,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1229,134,2,2,30.29,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1230,140,2,2,36.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1230,141,2,2,22.44,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1230,146,2,2,33.03,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1230,147,2,2,26.43,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1231,139,2,2,46,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1231,140,2,2,38.16,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1231,141,2,2,21.56,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1231,146,2,2,36.27,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1231,147,2,2,26.54,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1231,148,2,2,35.95,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1232,155,2,2,16.45,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1232,156,2,2,9.37,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1234,153,2,2,373,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1234,155,2,2,15.88,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1234,156,2,2,9.26,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1234,157,2,2,24.81,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1257,39,2,2,146,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1257,44,2,2,25.89,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1257,45,2,2,16.95,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1257,46,2,2,13.25,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1257,47,2,2,19.46,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1258,39,2,2,140,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1258,44,2,2,24.34,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1258,45,2,2,18.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
